z_A,planar_electrostatic_potential_eV
24.234054048178486,-13.496842
24.342726936286912,-12.633099
24.451399824395335,-12.325827
24.560072712503757,-12.76182
24.668745600612183,-13.677011
24.777418488720606,-14.550187
24.88609137682903,-14.922096
24.99476426493745,-14.600498
25.103437153045878,-13.750031
25.2121100411543,-12.814254
25.320782929262723,-12.321062
25.42945581737115,-12.56797
25.538128705479572,-13.404715
25.646801593587995,-14.345662
25.75547448169642,-14.890096
25.864147369804844,-14.759872
25.972820257913266,-14.024728
26.08149314602169,-13.069377
26.190166034130115,-12.423969
26.298838922238538,-12.472773
26.40751181034696,-13.184017
26.516184698455387,-14.1331215
26.62485758656381,-14.79474
26.733530474672232,-14.817647
26.842203362780655,-14.179929
26.95087625088908,-13.197525
27.059549138997504,-12.387153
27.168222027105926,-12.224967
27.276894915214353,-12.821141
27.385567803322775,-13.834631
27.494240691431198,-14.732202
27.60291357953962,-15.093527
27.711586467648047,-14.787769
27.82025935575647,-14.049771
27.928932243864892,-13.363517
28.03760513197332,-13.160852
28.14627802008174,-13.574796
28.254950908190164,-14.390721
28.363623796298587,-15.159169
28.472296684407013,-15.452724
28.580969572515436,-14.993811
28.68964246062386,-13.587221
28.798315348732284,-11.292669
28.906988236840707,-8.657539
29.01566112494913,-6.4569893
29.124334013057553,-5.107746
29.23300690116598,-4.5491996
29.3416797892744,-4.545002
29.450352677382824,-4.63621
29.55902556549125,-4.3832483
29.667698453599673,-3.7316492
29.776371341708096,-2.971798
29.88504422981652,-2.3536518
29.993717117924945,-1.9074547
30.102390006033367,-1.6000766
30.21106289414179,-1.386911
30.319735782250216,-1.2396637
30.42840867035864,-1.1387334
30.53708155846706,-1.0702957
30.645754446575488,-1.02447
30.75442733468391,-0.9942018
30.863100222792333,-0.9744985
30.971773110900756,-0.96187645
31.080445999009182,-0.9539368
31.189118887117605,-0.94905776
31.297791775226028,-0.94615364
31.406464663334454,-0.94451076
31.515137551442876,-0.94363683
31.6238104395513,-0.9432096
31.732483327659722,-0.9430213
31.841156215768148,-0.94294906
31.94982910387657,-0.9429277
32.058501991985,-0.9429201
32.16717488009342,-0.9429147
32.27584776820184,-0.9429116
32.384520656310265,-0.9429076
32.49319354441869,-0.9429034
32.60186643252711,-0.9428987
32.71053932063554,-0.94289416
32.81921220874396,-0.94288975
32.927885096852386,-0.9428856
33.03655798496081,-0.9428826
33.14523087306923,-0.9428774
33.253903761177654,-0.9428743
33.362576649286076,-0.9428688
33.471249537394506,-0.94286364
33.57992242550293,-0.9428582
33.68859531361135,-0.9428529
33.797268201719774,-0.9428508
33.9059410898282,-0.9428482
34.01461397793662,-0.9428436
34.12328686604504,-0.94283634
34.23195975415347,-0.94282967
34.340632642261895,-0.9428257
34.44930553037032,-0.9428207
34.55797841847874,-0.9428128
34.66665130658716,-0.9428061
34.775324194695585,-0.9427982
34.88399708280401,-0.94279575
34.99266997091244,-0.94279027
35.10134285902086,-0.9427881
35.21001574712928,-0.942777
35.318688635237706,-0.94276106
35.42736152334613,-0.94275904
35.53603441145455,-0.9427521
35.644707299562974,-0.94275
35.753380187671404,-0.94274914
35.862053075779826,-0.94274837
35.97072596388825,-0.9427461
36.07939885199667,-0.94273925
36.188071740105094,-0.94273686
36.29674462821352,-0.94272155
36.40541751632194,-0.94270986
